points_x,position_x,wins_x,round_x,position_y
73.0,5,0,10,4
8.0,6,0,8,10
452.0,1,11,11,1
35.0,2,1,8,2
6.0,6,0,8,5
26.5,3,1,8,2
48.0,2,3,8,2
12.0,3,0,5,2
68.0,4,0,9,4
0.0,12,0,8,14
2.0,11,0,7,11
0.0,11,0,9,11
41.0,5,0,10,5
28.0,2,2,5,3
0.0,11,0,10,11
46.0,8,0,10,7
0.0,8,0,4,11
11.0,4,0,5,5
0.0,11,0,9,11
10.0,6,1,6,6
56.0,2,2,8,2
5.0,9,0,7,10
10.0,8,0,11,8
243.0,2,0,10,2
9.0,3,0,4,3
218.0,2,4,9,1
6.0,6,0,8,7
8.0,7,0,9,8
248.0,1,4,9,2
0.0,12,0,8,12
17.0,6,0,8,6
7.0,7,0,8,8
0.0,15,0,8,16
0.0,14,0,8,15
74.0,1,6,8,1
0.0,11,0,9,11
25.0,4,0,9,5
8.0,8,0,8,9
295.0,3,1,12,1
0.0,11,0,8,10
15.5,5,0,8,7
13.0,4,0,8,4
0.0,12,0,5,17
25.0,3,1,7,3
6.0,8,0,8,7
5.0,8,0,8,10
76.0,1,5,9,1
31.0,6,0,12,8
21.0,2,1,4,2
63.0,3,1,9,3
157.0,4,1,9,4
6.0,8,0,8,6
1.0,13,0,8,13
0.0,10,0,4,13
121.0,1,7,9,1
5.0,6,0,7,8
237.0,3,0,11,3
31.0,2,1,8,3
0.0,8,0,5,9
13.0,4,0,8,4
0.0,9,0,6,9
17.0,7,0,9,8
17.0,4,0,8,4
5.0,9,0,8,10
25.0,3,1,8,4
5.0,7,0,8,7
0.0,17,0,7,17
2.0,9,0,7,12
0.0,10,0,8,10
55.0,2,3,8,2
0.0,13,0,6,12
13.0,4,0,5,3
3.0,11,0,8,12
1.0,10,0,7,6
3.0,11,0,7,9
4.0,7,0,8,9
11.0,6,0,8,5
1.0,9,0,8,10
26.0,4,0,8,4
0.0,10,0,9,10
10.0,8,0,8,7
8.0,7,0,8,7
0.0,10,0,9,6
41.0,3,2,8,3
0.0,14,0,8,15
6.0,8,0,8,9
17.0,5,0,9,5
0.0,16,0,7,18
5.0,7,0,8,6
17.0,2,1,5,2
24.0,5,0,9,7
18.0,3,0,5,4
10.0,7,0,9,8
0.0,10,0,4,14
31.0,2,1,6,3
5.0,8,0,8,8
0.0,15,0,8,16
0.0,14,0,8,14
0.0,12,0,4,9
0.0,18,0,8,18
4.0,9,0,9,9
32.0,3,2,8,4
9.0,8,0,12,6
0.0,15,0,5,15
19.0,4,0,6,4
14.0,5,0,8,6
0.0,13,0,5,13
67.0,1,6,8,2
1.0,9,0,8,9
0.0,11,0,7,11
26.0,3,1,7,3
9.0,6,1,5,7
15.0,4,0,8,5
6.0,6,0,8,5
2.0,10,0,11,8
0.0,13,0,5,16
6.0,7,0,8,8
21.0,7,0,9,8
56.0,1,1,8,2
4.0,9,0,7,6
61.0,6,0,8,6
1.0,10,0,8,7
3.0,7,0,7,9
1.0,11,0,7,12
267.0,2,3,10,1
10.0,6,0,7,8
0.0,11,0,8,11
163.0,3,0,11,3
2.0,10,0,8,12
0.0,12,0,6,15
9.0,7,0,8,7
2.0,10,0,8,10
0.0,18,0,8,17
0.0,10,0,9,10
20.0,1,0,5,2
0.0,10,0,8,8
102.0,1,8,8,1
221.0,4,2,12,4
0.0,13,0,8,13
1.0,11,0,7,11
18.0,1,1,4,1
359.0,1,7,11,1
1.0,12,0,7,10
33.0,1,3,5,1
105.0,5,1,10,5
10.0,8,0,9,9
3.0,6,0,5,6
0.0,6,0,4,9
1.0,9,0,8,9
10.0,5,1,7,5
0.0,15,0,7,16
5.0,7,0,7,7
0.0,12,0,7,12
15.0,6,0,9,6
9.0,6,0,6,5
44.0,1,3,7,1
29.0,4,0,9,4
0.0,18,0,8,14
5.0,9,0,7,6
39.0,5,0,10,5
61.0,1,4,8,1
0.0,19,0,8,19
70.0,4,0,10,4
17.0,5,0,6,5
17.0,2,1,5,3
0.0,10,0,9,10
13.0,6,0,8,5
98.0,3,0,8,3
1.0,10,0,8,11
2.0,6,0,4,7
